Artista,Reproducciones,Oyentes,Biografía,Artistas Similares
Die Habenichtse,21726,1952," <a href=""https://www.last.fm/music/Die+Habenichtse"">Read more on Last.fm</a>","Reliquiae, Die Ritter der Feder, Wolfenmond, Duivelspack, Cumulo Nimbus"
Shane & Shane,2861703,129325,"Shane & Shane are a Christian band known mostly for their praise and worship songs and recordings. The band consists of Shane Barnard and Shane Everett. The pair used to lead worship at Breakaway Ministries at Texas A&M University. After putting out an album or two, they started doing the recording and touring full time. By God’s grace and gifting, they’ve put out a lot of music. Their aim is that their music would worship God and encourage others to love God more. <a href=""https://www.last.fm/music/Shane+&+Shane"">Read more on Last.fm</a>","CityAlight, Sovereign Grace Music, Phil Wickham, Crowder, Keith & Kristyn Getty"
Голос Омерики,746336,17593,"Alco-Chanson-Glamour-Punk band from Moscow <a href=""https://www.last.fm/music/+noredirect/%D0%93%D0%BE%D0%BB%D0%BE%D1%81+%D0%9E%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B8"">Read more on Last.fm</a>","F.P.G., ПНЕВМОСЛОН, ГУДТАЙМС, Влом!, Г.М.О."
Pur,2115008,141814,"Pur is a German pop band from Bietigheim-Bissingen. The group was initially founded in 1975 under the name Crusade by Roland Bless and Ingo Reidl. Their first releases came out under the name Opus, but after an Austrian band with the same name had a huge hit single in Germany in 1985, they switched to the name Pur. Pur's first hit single in Germany was ""Lena"", released in 1990. In the 1990s and 2000s they had a string of number 1 albums in Germany. The producer of Pur was Dieter Falk from 1990 to 1998.  <a href=""https://www.last.fm/music/Pur"">Read more on Last.fm</a>","Herbert Grönemeyer, Marius Müller-Westernhagen, Udo Lindenberg, Silbermond, Peter Maffay"
The Coronas,1010110,52847,"The band originally formed when the members were just 15 and students at Terenure College. The band was initially known as 'Kiros', but changed its name and line-up three years later to 'Corona'. When the Italian dance act Corona re-emerged, the band changed their name again, to 'The Coronas'. The band's debut album, Heroes or Ghosts, was released on the 5th of October 2007, debuting at no. 21 in the Irish album charts.

The band has appeared on RTE's The Cafe, TV3's event guide, Channel 6's Popscene and numerous radio shows. <a href=""https://www.last.fm/music/The+Coronas"">Read more on Last.fm</a>","Bell X1, Picture This, Walking On Cars, Nada Surf, corella"
Tember Blanche,226301,11630,"Tember Blanche - ukrainian indie-pop/indie-folk duo founded in 2020. Tember Blanche is, first of all, about the synergy of two people. Secondly, it's about meaning. We believe that the lyrics should be thought-provoking, or at least be poetic.

Tember Blanche - український інді-поп/ інді-фолк дует заснований у 2020 році. Тember Blanche - це, по-перше, про синергію двох людей. <a href=""https://www.last.fm/music/Tember+Blanche"">Read more on Last.fm</a>","renie cares, Один В Каное, KRUTЬ, NAZVA, Vivienne Mort"
Wilco,82244695,1730058,"Wilco are a rock band which formed in 1994 in Chicago, Illinois, United States by the remaining members of alternative country group Uncle Tupelo following singer Jay Farrar's departure from that group. Wilco's lineup has changed frequently, with only singer Jeff Tweedy and bassist John Stirratt remaining from the original incarnation. The other current members are guitarist Nels Cline, multi-instrumentalists Pat Sansone and Mikael Jorgensen, and drummer Glenn Kotche. <a href=""https://www.last.fm/music/Wilco"">Read more on Last.fm</a>","Jeff Tweedy, Billy Bragg & Wilco, Uncle Tupelo, Loose Fur, Tweedy"
Reinhard Mey,2125988,116174,"Reinhard Friedrich Michael Mey (born December 21, 1942, Berlin) is a German singer-songwriter, also known as a Liedermacher. In France he is known as Frédérik Mey.

And although he is known as a German singer, he has also recorded songs in Dutch. ""Als de dag van toen"" has become a favourite among Dutch fans. His song ""Gute nacht Freunde""
is still the ending tune of the well known Dutch radio show ""Met het oog op morgen"". Every night a few minutes after eleven the song is played. <a href=""https://www.last.fm/music/Reinhard+Mey"">Read more on Last.fm</a>","Konstantin Wecker, Hannes Wader, Udo Lindenberg, Herbert Grönemeyer, Marius Müller-Westernhagen"
Ilse DeLange,2872848,146326,"Ilse DeLange is a Dutch country and pop singer. She first rose to prominence in 1998 following the release of her debut album World of Hurt. The album was recorded in Nashville, the capital of country music. It became a runaway success in the Netherlands, where it peaked at Number 1 for six weeks and was eventually certified quintuple-platinum. It ranks as one of the highest-selling albums of all time. Following the album’s release, its lead single “I’m Not So Tough” became DeLange her first Top 40-hit. <a href=""https://www.last.fm/music/Ilse+DeLange"">Read more on Last.fm</a>","The Common Linnets, Waylon, Krezip, Kim Wilde, BLØF"
Gesu No Kiwami Otome,3021775,127121,"Gesu no Kiwami Otome (ゲスの極み乙女。, ""Girl at the Height of Rudeness"") is a Japanese band that formed in 2012 by indigo la End front-man Enon Kawatani. Describing themselves as ""hip-hop/progressive"", the band debuted in 2013 with independent label Space Shower Records, later signed by Warner sub-label Unborde. In 2018, the band left label Unborde and joined TACO RECORDS, founded by Enon Kawatani.

The band was formed in May 2012 by Enon Kawatani, out of members of other musical units. <a href=""https://www.last.fm/music/Gesu+No+Kiwami+Otome"">Read more on Last.fm</a>","indigo la End, Frederic, Polkadot Stingray, DADARAY, UNCHAIN"
