Artista,Reproducciones,Oyentes,Biografía,Artistas_Similares
The Red Jumpsuit Apparatus,28200235,1396168,"The Red Jumpsuit Apparatus is an alternative rock/post-hardcore band that was originally formed in 2003 in Middleburg, Florida, about 30 miles south west of Jacksonville. The current members of the band are Ronnie Winter, the lead vocalist, Joey Westwood, bassist, Josh Burke, guitarist,  & Jon Wilkes, drummer, all of whom do back-up vocals. 

Art often thrives in the aftermath of adversity, and since we last heard from Red Jumpsuit Apparatus, there have been plenty of variables that the five-piece alternative rock act had to endure. <a href=""https://www.last.fm/music/The+Red+Jumpsuit+Apparatus"">Read more on Last.fm</a>","Mayday Parade, We the Kings, Secondhand Serenade, Yellowcard, Story of the Year"
Carach Angren,4186399,85136,"Carach Angren is a symphonic metal band from the Netherlands, formed by two members of the now-defunct bands Inger Indolia and Vaultage. Their style is characterized by prominent usage of orchestral arrangements, harsh vocals, and guitar riffs. Their studio albums are concept albums with lyrics based on ghost stories and folklore, such as the Flying Dutchman. The band sets itself apart from other symphonic metal artists with the usage of multiple languages such as English, French, German, and Dutch. <a href=""https://www.last.fm/music/Carach+Angren"">Read more on Last.fm</a>","Dimmu Borgir, Cradle of Filth, Dark Fortress, Stormlord, Graveworm"
NOVELISTS,1821670,79102,"1. Novelists (formerly known as Novelists FR) is a progressive metalcore band hailing from Paris, France. The band was founded in April 2013 and is currently signed to Out of Line Music.

The current lineup of Novelists consists of Florestan Durand on guitar, Amael Durand on drums, Nicolas Delestrade on bass guitar, and Pierre Danel on guitar, who joined the band in 2021. Previously, Charles-Henri Teule served as a guitarist from 2013 to 2018, while Matteo Gelsomino was the lead vocalist from 2013 to 2020 <a href=""https://www.last.fm/music/Novelists"">Read more on Last.fm</a>","Novelists FR, ERRA, Volumes, Northlane, Resolve"
Pain of Salvation,25848034,354144,"Pain of Salvation is a progressive rock band from Eskilstuna, Sweden. The band centres on lead vocalist, guitarist, composer, and writer Daniel Gildenlöw.

Trademarks include concept albums focusing on social, environmental, philosophical, and emotional issues as well as songs that incorporate complex rhythms and time changes but retain flowing melodies.

The band was formed by Gildenlöw in 1984 under the name Reality. The band used to participate in many music contests in their homeland of Sweden. <a href=""https://www.last.fm/music/Pain+of+Salvation"">Read more on Last.fm</a>","Riverside, Leprous, Haken, Ayreon, Dream Theater"
Dream Demon,57979,13742," <a href=""https://www.last.fm/music/Dream+Demon"">Read more on Last.fm</a>","Reece Young, Phrenia, Oni, Devil May Care, Bad/Love"
156/Silence,1289764,49928,"Formed in Pittsburgh, 156/Silence storms the metalcore scene with relentless energy and uncompromising passion. With over 2 million catalog streams, they've swiftly established themselves as a force to be reckoned with. They return with their latest single, 'Unreasonable Doubt', following the success of tracks like 'A Past Embrace', which garnered over 100K views on YouTube in its debut weekend. <a href=""https://www.last.fm/music/156%2FSilence"">Read more on Last.fm</a>","Boundaries, Cane Hill, God Complex, Thrown, VCTMS"
The Acacia Strain,10814877,238317,"The Acacia Strain is a metal band from Chicopee, Massachusetts, US that formed in 2001.  The band have since undergone numerous changes in their lineup. To date, they have released seven studio albums, two split albums, two EPs, and have appeared on the Soundtrack for Homefront. The Acacia Strain have said they dislike genre labels, and instead describe themselves as ""Heavy."" ""You might hear other music that sounds like it, but those bands can't touch what we have. <a href=""https://www.last.fm/music/The+Acacia+Strain"">Read more on Last.fm</a>","Oceano, Bodysnatcher, Despised Icon, Emmure, Chamber"
Countless Skies,447243,22794,"Countless Skies burst onto the metal scene with their self-titled EP in late 2014. Blending progressive and darkly intense music influenced by their Scandinavian melodeth heroes, the EP received acclaim worldwide and began a flood of shows up and down their native UK with multiple highlights including an invitation to Bloodstock Open Air 2015.

Building upon their rapid momentum, the band soon caught the attention of Kolony Records, a deal was signed and the band began work on their debut full length. <a href=""https://www.last.fm/music/Countless+Skies"">Read more on Last.fm</a>","Words of Farewell, Fractal Gates, Insomnium, Be'lakor, In Mourning"
Blackfield,15307514,290959,"Blackfield is a collaborative music project led by Israeli rock singer Aviv Geffen. Together with the English musician Steven Wilson, they have released three albums under the moniker: Blackfield and Blackfield II as equal partners, and Welcome to my DNA with Geffen taking a more dominant role. With the release of  Blackfield IV in 2013, Wilson is taking an even more passive role, acting only as a contributor and mixer, and played his last live show with Blackfield in April 2014. <a href=""https://www.last.fm/music/Blackfield"">Read more on Last.fm</a>","Steven Wilson, Porcupine Tree, The Pineapple Thief, Riverside, No-Man"
Pallbearer,3069951,134677,"Pallbearer is a doom metal band from Little Rock, Arkansas, United States. The band features two members of the psychedelic drone band SPORTS, as well as members of Soophie Nun Squad and Placid Eclipse.

Pallbearer released their debut album ""Sorrow and Extinction"" in February 2012 via Profound Lore Records to much critical acclaim.

The current line-up is:
Brett Campbell - vocals, guitar
Devin Holt - guitar
Joseph D. Rowland - bass
Mark Lierly - drums <a href=""https://www.last.fm/music/Pallbearer"">Read more on Last.fm</a>","Khemmis, YOB, REZN, Elder, Monolord"
Schandmaul,12477251,166476,"Schandmaul is a German rock/folk band. The band specializes in a genre of music often known as ""Medieval-Folk Rock,"" because they often include instruments typically used in medieval folksongs—such as the bagpipes and shawms—as parts of their rock sound. Contemporary groups in the same vein include Subway to Sally, In Extremo, Saltatio Mortis, Regicide, and Letzte Instanz.

Schandmaul was founded in the summer of 1998, when six musicians from Munich and the surrounding area decided to put on a concert of folksongs. <a href=""https://www.last.fm/music/Schandmaul"">Read more on Last.fm</a>","Subway to Sally, Versengold, Saltatio Mortis, In Extremo, Letzte Instanz"
Berzerker Legion,44165,4992,"Berzerker Legion is a 5-member coalition of death metal veterans from the European continent, formed in 2016 by guitarists Tomas Elofsson (Hypocrisy) and Alwin Zuur (Asphyx). 
With a vision to create death metal of the highest quality they recruited a line-up of solid well-known musicians consisting of James Stewart (Vader) on drums, Jonny Pettersson (Wombbath) on vocals and Fredrik Isaksson (Dark Funeral) on bass to complete the Legion. And with decades of combined experience in both the studio as well as live performances <a href=""https://www.last.fm/music/Berzerker+Legion"">Read more on Last.fm</a>","Night In Gales, Sodomisery, Carnal Savagery, Blood Red Throne, Bodyfarm"
IQ,2108798,90580,"1. Born in the UK in the '70s as The Lens, IQ remained, with Marillion, one of the very few progressive rock artists in the '80s.  The style of their earlier material drew constant comparisons to that of groups like Genesis, but the band has always rejected the 'neo-progressive' tag bestowed upon them.

Their 1993 offering Ever was marked by the return of original singer, Peter Nicholls, and was one of the first of the progressive revival of the '90s. <a href=""https://www.last.fm/music/IQ"">Read more on Last.fm</a>","Arena, Pallas, Pendragon, Big Big Train, Marillion"
