Artista,Reproducciones,Oyentes,Biografía,Artistas_Similares
Foo Fighters,291357573,5547073,"Foo Fighters are an American rock band formed in Seattle in 1994. Foo Fighters was initially formed as a one-man project by former Nirvana drummer Dave Grohl. Following the success of the eponymous debut album, Grohl (lead vocals, guitar) recruited a band consisting of Nate Mendel (bass guitar), William Goldsmith (drums), and Pat Smear (guitar). After a succession of lineup changes, including the departures of Goldsmith and Smear, the band formed its core lineup in 1999 consisting of Grohl <a href=""https://www.last.fm/music/Foo+Fighters"">Read more on Last.fm</a>","Taylor Hawkins & The Coattail Riders, Pearl Jam, Audioslave, Red Hot Chili Peppers, Nirvana"
Cocoon,4504635,270781,"There are at least six bands called Cocoon:

1. Cocoon is a two-piece French band formed in 2006 by Mark Daumail (born 1984, composition, lead vocals, acoustic guitar, ukelele, banjo, beatbox, etc.) and Morgane Imbeaud (born 1987, vocal harmonies, keyboards, arrangements).

""I wanted it to be a male-female duet. A duo like the White Stripes are in rock — we wanted to be the equivalent in folk music,"" Daumail says. Their songs are entirely sung in English. <a href=""https://www.last.fm/music/Cocoon"">Read more on Last.fm</a>","Charlie Winston, Moriarty, Lilly Wood & The Prick, Yodelice, Jil Is Lucky"
Cage The Elephant,111866918,2833669,"Cage the Elephant are an alternative rock band which formed in 2005 in Bowling Green, Kentucky, United States.

The band consists of Matt Shultz (vocals), Brad Shultz (guitar), Nick Bockrath (guitar), Daniel Tichenor (bass, vocals), Jared Champion (drums) and Matthan Minster (keyboard, vocals, guitar). 

Their breakthrough single was Ain't No Rest For The Wicked, which peaked at #83 on the Billboard Hot 100, #32 on the UK Singles Chart and #3 on the Billboard Alternative Songs chart. <a href=""https://www.last.fm/music/Cage+the+Elephant"">Read more on Last.fm</a>","Young the Giant, The Strokes, Foster the People, Arctic Monkeys, The Black Keys"
Silvestre y La Naranja,1159238,72411,"Silvestre y La Naranja nació en Buenos Aires, Argentina. En los últimos años, la banda ha surgido dentro del circuito under como una de las propuestas más atrayentes e innovadoras, y se ha presentado con frecuencia en las mejores salas de la ciudad y el país. <a href=""https://www.last.fm/music/Silvestre+y+La+Naranja"">Read more on Last.fm</a>","El Zar, 1915, Conociendo Rusia, Bandalos Chinos, Gauchito Club"
ONE OK ROCK,39414017,490798,"ONE OK ROCK is a Japanese Rock band formed in the summer of 2005. It was started by Toru with High School friends Alex and Ryota after each of them got their musical instruments. After that, Taka joined as their vocalist and they focused on performing shows in the Tokyo area.

In 2006 they independently released 2 mini albums. Because of their albums sales, their participation in relatively large festivals that summer and their energetic shows in the outskirts of Tokyo, they were noticed by a foreign record company. <a href=""https://www.last.fm/music/ONE+OK+ROCK"">Read more on Last.fm</a>","MY FIRST STORY, SPYAIR, coldrain, Survive Said The Prophet, MAN WITH A MISSION"
Milky Chance,31881286,1440443,"Milky Chance is a German alternative pop folk rock duo with reggae and electronic music influences made up of Clemens Rehbein as vocalist and musician and Philipp Dausch as DJ. Both originating from Kassel, they are signed to Kassel-based label Lichtdicht Records.

The duo finished their high school education at Jacob-Grimm Schule. Clemens played in a jazz quartet known as Flown Tones where he played bass guitar. Philipp was a DJ. 

Their first single 'Stolen Dance'  was released in 2012 <a href=""https://www.last.fm/music/Milky+Chance"">Read more on Last.fm</a>","Henry and the Waiter, Broken Back, Sir Sly, alt-J, Portugal. The Man"
Capleton,3051946,353829,"King Shango, King David, The Fireman and The Prophet.

A wise man once said that a prophet is not without honour save in his own country and so it has been with Capleton. While the veteran DJ's words and works long ago earned him the title of ""The Prophet"", the respect and honor that should rightfully be his have been a long time coming. ""Anytime you try to uplift righteousness and upliftment of the people them, then you ah go get a fight"", says the hottest entertainer in the worldwide reggae fraternity. <a href=""https://www.last.fm/music/Capleton"">Read more on Last.fm</a>","Sizzla, Buju Banton, Bounty Killer, Anthony B, Fantan Mojah"
Bruce Springsteen,118449406,3093820,"Bruce Frederick Joseph Springsteen (born September 23, 1949) is an American rock singer, songwriter, and guitarist. Nicknamed ""the Boss"", he has released 21 studio albums during a career spanning six decades, most of which feature his backing band, the E Street Band. Springsteen is a pioneer of heartland rock, a genre combining mainstream rock music with poetic and socially conscious lyrics that feature narratives primarily concerning working class American life. <a href=""https://www.last.fm/music/Bruce+Springsteen"">Read more on Last.fm</a>","Bruce Springsteen & The E Street Band, Tom Petty and The Heartbreakers, Neil Young, John Mellencamp, Bob Dylan"
Eve,36567606,1396661,"There are at least five artists using this name:
1. Eve - The Japanese singer (Utaite)
2. Eve Ai - The Taiwanese Singer
3. Jarkko Eve - The Finnish singer - songwriter - base player - guitarist
4. EVE - Brazilian girl group
5.  Eve - The American rapper, songwriter from Philadelphia.

1. Eve (いぶ ibu), also known as Keitora (けいとら) and Kurowa (クロわ), is mostly known as an utaite on the platforms Niconico and YouTube. In recent years, he has also composed original works. <a href=""https://www.last.fm/music/Eve"">Read more on Last.fm</a>","Creepy Nuts, eill, Lotus Juice, たかやん, DAOKO"
Eclipse,3603030,179547,"There are 2 artists that use this name:
1. A fictional South Korean boy band. The group was created for the tvN South Korean TV series “Lovely Runner (선재 업고 튀어)“.
2. A symphonic black metal band from Poland <a href=""https://www.last.fm/music/Eclipse"">Read more on Last.fm</a>","H.E.A.T, W.E.T., Nordic Union, Art Nation, Kissin' Dynamite"
J.J. Cale,14264947,792531,"John Weldon Cale (5 December 1938 –  26 July  2013), known as JJ Cale or J.J. Cale, was a Grammy Award-winning American singer, musician, and songwriter. Cale was one of the originators of the Tulsa Sound, a loose genre drawing on blues, rockabilly, country, and jazz influences. Cale's personal style has often been described as ""laid back"".

His songs have been performed by a number of other musicians including ""After Midnight"" and ""Cocaine"" by Eric Clapton <a href=""https://www.last.fm/music/J.J.+Cale"">Read more on Last.fm</a>","J.J. Cale & Eric Clapton, Eric Clapton, Tony Joe White, Peter Green, Canned Heat"
Reignwolf,2814103,242691,"Reignwolf is an American indie and blues rock trio from Seattle, Washington. It consists of the vocalist Jordan Cook, bassist Stacey James Kardash, and drummer Joseph Braley. They are known for their hit 2013 single ""Are You Satisfied?""

In late 2011, guitarist/vocalist Jordan Cook moved to Seattle, Washington, from Saskatoon, Saskatchewan, where he was introduced to David ""Stitch"" Rapaport and Joseph Braley from the band The Mothers Anger. Cook formed the band Reignwolf and invited Rapaport and Braley to join him. <a href=""https://www.last.fm/music/Reignwolf"">Read more on Last.fm</a>","Himalayas, Cleopatrick, Black Pistol Fire, The Blue Stones, DEAD POET SOCIETY"
The Rolling Stones,228688410,5220201,"The Rolling Stones is a rock band formed in London in 1962. Active for six decades, they are one of the most popular and enduring bands of the rock era. In the early 1960s, the Rolling Stones pioneered the gritty, rhythmically driven sound that came to define hard rock. Their first stable line-up consisted of vocalist Mick Jagger, multi-instrumentalist Brian Jones, guitarist Keith Richards, bassist Bill Wyman, and drummer Charlie Watts. During their formative years <a href=""https://www.last.fm/music/The+Rolling+Stones"">Read more on Last.fm</a>","Keith Richards, The Who, The Kinks, Ron Wood, Mick Jagger"
